@relation fri_c0_1000_50

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute oz11 numeric
@attribute oz12 numeric
@attribute oz13 numeric
@attribute oz14 numeric
@attribute oz15 numeric
@attribute oz16 numeric
@attribute oz17 numeric
@attribute oz18 numeric
@attribute oz19 numeric
@attribute oz20 numeric
@attribute oz21 numeric
@attribute oz22 numeric
@attribute oz23 numeric
@attribute oz24 numeric
@attribute oz25 numeric
@attribute oz26 numeric
@attribute oz27 numeric
@attribute oz28 numeric
@attribute oz29 numeric
@attribute oz30 numeric
@attribute oz31 numeric
@attribute oz32 numeric
@attribute oz33 numeric
@attribute oz34 numeric
@attribute oz35 numeric
@attribute oz36 numeric
@attribute oz37 numeric
@attribute oz38 numeric
@attribute oz39 numeric
@attribute oz40 numeric
@attribute oz41 numeric
@attribute oz42 numeric
@attribute oz43 numeric
@attribute oz44 numeric
@attribute oz45 numeric
@attribute oz46 numeric
@attribute oz47 numeric
@attribute oz48 numeric
@attribute oz49 numeric
@attribute oz50 numeric
@attribute binaryClass {P,N}

@data
0.082254,-0.841698,0.507548,0.495253,-0.606971,-0.573887,0.420622,1.518167,1.311975,1.599362,0.794756,1.634742,1.532791,0.695737,-1.203222,0.419506,-0.564281,0.750881,0.681008,1.151566,-0.346635,0.748525,1.106675,-0.459182,-0.089514,-0.860836,-1.459576,-0.901135,-1.662083,0.095435,-0.87784,-0.740714,-1.370319,-0.338494,0.987997,0.660303,-1.423548,1.246747,0.776017,0.960346,1.578349,-0.532989,0.497492,0.250665,1.541319,1.049927,1.482603,-1.476555,0.237624,-1.623972,P
0.725857,0.647101,-0.389971,-1.533994,-0.541973,1.578518,0.819385,-0.012944,0.53596,-0.624896,-1.353186,1.598245,-0.214303,1.279749,-0.607303,-1.234445,1.624444,-0.913011,-0.043135,-0.937961,-1.308242,-1.152746,-0.37649,-1.591954,-0.140163,-0.087218,0.18376,0.372526,-0.797143,-0.095033,1.012036,1.316658,0.481118,1.124098,-0.256098,-1.661981,0.548058,-1.672797,-1.031802,0.942122,0.332761,-0.050418,0.152062,-1.387621,-1.168255,-0.803588,1.214975,1.176938,-1.226456,1.082309,P
-0.904944,-1.268634,0.519697,-0.631869,-1.194412,-0.384618,0.333423,-1.442796,-1.315804,-0.632852,-0.437821,-1.315864,-1.672578,0.669326,0.374912,1.185247,0.986328,-1.351988,-1.670154,1.262973,0.303853,1.547835,0.200606,-0.888774,-1.498334,-0.596974,1.586999,-0.021602,1.062916,-1.438153,0.703794,-0.838388,-0.874786,1.259983,-0.484416,-1.454574,1.78935,1.28883,1.642642,0.171696,-0.191012,1.522728,-1.125984,1.680036,-1.299804,0.517593,-0.00366,-0.178275,1.332857,-0.592938,P
-0.096495,-1.464197,-0.78171,-1.311693,1.403905,0.95965,1.54485,0.579445,-0.590187,0.945746,-1.183874,1.107989,0.205676,0.97272,-0.003357,1.05348,1.180679,0.74452,0.925506,0.300812,1.42453,1.017276,0.060559,1.3777,-0.041891,0.665332,-0.463494,0.434616,1.143665,0.340604,-0.59798,0.250465,0.356468,0.066074,-0.16045,0.06062,1.766083,1.692015,-0.795418,-0.61813,0.003725,0.668648,-0.590239,0.106722,0.800636,1.232158,0.175737,-0.533339,-0.591907,0.553929,P
-0.788738,-1.160579,1.056101,-0.406401,-0.172356,-0.843594,1.216951,-0.090181,1.716997,0.579832,-0.29927,-1.727002,0.000426,-0.781703,-0.825569,-0.325509,-1.409258,-1.299421,-1.091745,0.946783,0.757895,-0.526976,-1.018785,0.833708,0.499525,-1.388415,-0.671948,-0.242981,-1.501853,-0.553581,-0.392497,-0.43446,-0.874497,0.472155,0.786732,-1.166535,-1.325297,0.333065,-1.556256,1.085302,1.702835,-1.174442,0.204291,-1.219264,1.240268,1.422944,-0.183508,-0.601412,-1.025003,-0.871615,P
1.514111,1.50162,0.688022,-1.219037,-0.75028,-0.06731,-0.639274,0.548233,-1.27131,-0.368867,0.959702,0.776253,0.080531,-0.0673,0.567497,-0.645002,-0.490425,1.229977,1.08935,0.23193,0.108582,0.992009,-1.114748,-0.985468,0.506599,-1.124186,0.226135,-0.06371,0.618694,0.822107,1.179277,-1.264274,-0.722941,-0.342857,0.888037,-0.010687,-0.506063,-0.027554,0.583286,-1.687759,-0.577395,-0.691273,1.574767,-1.502657,-0.738048,1.043397,0.209674,-0.611065,-1.324866,-0.25294,P
-1.539548,-1.235301,0.154822,1.309437,-0.771866,-0.599729,-1.439755,-1.278337,-1.008426,-0.999123,0.105794,0.02292,0.496205,-1.269377,0.413317,0.814157,1.250266,-0.293079,-1.11415,1.40099,-1.131057,1.613237,0.32615,-0.638774,1.377997,1.180969,-0.415654,1.192493,-0.202663,1.475033,-0.148622,-0.566738,0.490495,-0.413362,-0.826011,0.871299,1.138663,-1.172914,-0.06318,-0.926804,0.695705,0.99318,-1.560234,0.697051,-0.164433,1.267884,0.843797,-1.712435,-0.820963,-1.531779,P
-0.041997,0.465836,-1.73147,0.796846,-1.006928,1.747531,-1.27336,-0.68967,0.852921,-1.300048,-1.231275,0.595031,-0.812626,0.175026,-1.570095,1.290794,-1.166585,-1.716289,-1.064401,1.015904,0.429801,1.643835,-0.189311,-1.142122,0.73882,-0.099624,1.322258,-1.314007,-0.179043,-0.639821,0.046818,1.340852,0.105071,0.19287,-0.999522,0.167824,0.135735,-1.323326,0.213769,-1.338611,-0.145642,-1.028893,1.302335,-0.728494,1.377829,-1.349931,-0.976876,-1.080305,1.649468,1.410942,N
0.391297,1.6348,1.06028,-0.261584,1.598307,-0.568068,1.700404,-1.508797,0.83541,1.166873,0.950602,0.849354,-0.332687,-1.028027,-0.539497,-0.197199,1.595875,-1.329555,-1.276633,-0.685106,-1.316374,-1.1397,-1.29528,-0.58195,-0.335091,0.30212,-0.732612,-1.376729,-0.133894,0.70744,-0.961594,1.27412,1.679952,-0.766224,-0.801976,0.816539,1.262244,-1.066984,-0.514081,1.052639,-0.767048,0.320805,0.275167,1.079358,1.527739,0.405007,-0.295269,-1.653288,-0.084778,1.451496,N
-0.469699,-1.54303,-0.959388,0.568315,0.626098,0.769172,0.840347,1.751017,1.583849,0.928932,0.941138,-0.207967,1.348245,-1.595583,0.516903,0.75921,-0.040159,0.200829,0.932314,-1.489812,-1.376754,-0.602047,-0.741582,1.528521,-0.769479,1.249257,0.462841,-0.052464,0.270914,0.209385,-0.76373,-0.981859,0.280508,0.437713,0.952819,0.240856,-1.77466,0.011513,-1.52207,-1.334979,-1.60245,1.554462,0.151185,-0.406576,-0.695703,0.60656,-1.418484,1.039534,-0.658264,0.264882,P
