@relation fri_c1_1000_5

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute binaryClass {P,N}

@data
0.827613,0.874057,-0.269612,1.084659,0.80707,P
-1.050347,-0.809026,-1.189556,0.953911,0.778797,N
-0.089653,0.129047,-0.360108,-1.108125,0.066154,P
-0.804896,-0.646172,0.03735,-1.690904,0.418716,N
-0.261358,-0.583027,0.242059,-1.455686,1.597545,N
-0.639735,-0.186486,-1.285517,0.322408,-0.717583,N
1.204864,1.097192,1.178451,0.951471,-0.334418,P
-1.324063,-1.405459,-0.450631,0.571764,0.937051,N
-0.933337,-1.4229,1.180583,-1.184382,-1.41203,P
-0.516255,-0.403768,0.333873,-0.02509,1.510594,N
-0.167098,0.323743,-0.986845,-0.289669,-0.899765,N
0.153569,0.20297,0.223515,-0.345016,-1.614578,P
1.062903,1.120163,0.820859,-1.443007,-0.885137,P
-0.716913,-0.183932,-1.18038,1.282325,1.647071,N
-0.176804,-1.108393,1.500052,-0.118568,-0.785628,N
-0.674777,-1.552273,0.843499,-1.365281,-0.88743,P
0.421304,1.04173,-1.466893,-0.320693,-1.059335,P
0.986591,0.38896,1.665045,-0.357494,1.242966,P
-0.4194,-0.12427,-1.424717,0.645902,-1.170161,N
0.962311,1.106962,0.288419,-0.503188,-0.008857,P
-0.991782,-0.90106,-0.345441,1.595739,1.68826,N
0.023498,-0.641493,1.104236,0.689521,-0.756114,N
1.336255,1.318336,-0.177607,0.52198,-0.530976,P
-1.154148,-1.291141,-0.270099,-1.275604,1.007258,P
-1.920699,-1.07885,-1.686809,0.045932,0.576485,N
-0.133024,-1.052289,1.526601,1.060008,-1.159054,N
0.681155,0.210701,1.668055,-0.08175,0.995124,P
-1.419397,-1.470023,-0.303393,1.425795,1.12832,N
-0.694802,-1.446851,1.530218,1.391577,0.004272,N
-1.734721,-1.471412,-0.706791,-0.611244,0.748542,P
-0.84214,-1.732942,1.170308,0.490995,0.734327,N
-1.636032,-1.368325,-1.333204,-0.308984,1.468184,N
0.911041,1.610598,-1.106268,-1.274123,-0.203917,P
-0.023256,0.9864,-1.558466,1.407111,0.846558,P
1.105476,0.55321,1.593849,1.72825,1.50891,P
-1.206779,-1.351662,-0.324852,1.0474,0.430135,N
0.221661,0.410896,-0.216782,-0.024601,-1.442595,P
0.900266,0.063431,1.356441,0.685978,1.439752,P
-0.454836,0.102164,-1.045837,0.072807,1.604837,N
-1.443167,-1.147559,-0.809116,-0.541405,-0.527819,P
0.84282,0.165638,1.422216,1.076477,-0.266116,P
1.161813,1.093811,-0.110995,-1.290051,1.14624,P
1.379159,1.195658,0.889567,0.222519,-0.647517,P
0.793819,1.635691,-1.692437,0.847664,-0.400945,N
0.226138,0.968864,-0.746427,0.53685,-0.034221,P
0.017802,-0.753938,1.70626,-1.149789,1.388829,N
-0.7855,-0.632664,-0.064964,1.005916,-1.058034,N
-0.031902,0.752606,-0.935128,-1.178086,-0.873198,P
-0.166274,-0.374313,0.451998,1.738845,0.073149,N
-0.383628,0.202963,-1.22316,0.386162,1.064824,N
1.847125,1.460101,0.703897,0.904002,0.75107,N
1.074386,1.492811,-0.718054,1.755469,1.347872,N
-0.453644,-0.602973,0.887661,-1.565288,-1.4677,P
-1.486581,-1.598811,0.539515,0.882249,0.021543,P
1.966697,1.505126,1.050753,-1.431546,0.080034,N
-0.386034,0.224409,-1.478834,-1.396238,-1.672214,N
-0.140994,0.483938,-1.3137,-0.801097,-0.611495,P
-0.317927,-0.273918,-0.532207,-0.019806,-0.9031,N
-1.31937,-1.158209,-1.065206,-1.357497,1.495052,P
-0.06713,-0.911864,1.596727,-1.468719,1.634119,N
-0.039911,0.162538,0.168059,0.644053,0.117246,N
0.18757,1.044065,-1.213825,1.490268,0.60706,P
0.023175,0.108985,-0.756856,-1.577403,-1.369153,P
-0.781613,-0.975573,0.363294,-0.910918,-0.588191,P
0.657441,1.318563,-0.848592,1.531812,-1.287908,P
-1.461685,-1.258747,-0.375263,0.514403,-0.194417,P
0.453823,1.026156,-1.015602,1.12187,-0.367987,P
1.124875,1.533328,-0.734322,-1.327998,0.095054,P
0.982233,0.149785,1.707918,-1.115063,0.450433,P
-0.021257,-0.833788,1.658366,0.628202,1.072427,N
-0.373852,0.105318,-1.167536,-0.897636,-0.08723,N
-0.936356,-0.78598,0.893711,1.419105,0.000073,N
0.562214,-0.01635,1.63982,0.078108,-0.946927,N
1.479963,1.065947,1.281038,-0.025253,0.658125,P
-0.248762,0.488858,-1.14352,1.611923,1.615074,N
0.710268,0.893879,-0.093868,-0.822643,0.301842,P
-0.816461,-0.319958,-1.205631,1.658604,0.09241,N
-0.160871,-0.302108,0.051486,1.28689,0.464308,N
1.664007,1.299251,1.619576,-1.365232,0.082095,N
0.583076,1.002881,-0.429175,-1.558982,0.802459,P
-0.0353,0.551627,-1.017206,-0.398642,1.522019,P
-0.675151,-0.614619,0.018441,1.115261,-1.335744,N
0.104638,0.805339,-1.084878,-0.839706,-0.175705,P
0.684873,0.495341,-0.0437,-0.556963,1.714776,P
0.677178,1.423669,-1.241054,-0.785641,-1.667709,P
-0.7829,-0.878565,0.048795,-0.658117,0.079646,P
-0.769171,-0.30877,-0.799571,1.217982,-1.167822,N
0.108891,-0.332407,0.655153,1.322373,1.068952,N
0.333314,1.002511,-1.612605,0.865341,0.285118,P
0.21706,0.92511,-0.923668,1.182623,1.105052,P
1.970749,1.355745,1.23644,1.01436,-0.392882,N
0.00073,0.727925,-1.017309,-0.344044,0.247078,P
1.723211,1.552054,1.130601,1.456181,0.518721,N
0.964402,0.763956,0.355886,1.316075,0.583098,P
-1.165406,-1.619929,0.523906,-1.569412,1.22951,P
0.898534,0.827886,0.537802,-1.360314,0.655974,P
1.510081,1.08607,1.257895,1.174276,-1.083464,N
0.272961,0.436772,-0.382894,-1.30235,-0.004135,P
-0.745497,-1.530625,0.781743,-0.907553,0.991206,P
0.794247,1.461336,-0.872413,1.377308,0.500526,P
-2.071959,-1.631473,-1.131141,-0.006188,-1.036722,P
-0.720094,-0.989092,0.589343,0.072945,0.734798,N
0.785785,1.10639,-0.463252,0.405472,0.530759,P
-0.646472,-1.091571,0.724559,0.908642,0.598554,N
