@relation fri_c0_1000_5

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute binaryClass {P,N}

@data
-0.985636,0.058884,0.245698,-1.207346,1.135988,P
-1.688321,-1.228368,0.334559,1.073658,0.409526,P
1.327532,-1.391201,-0.495457,-0.4416,0.065807,P
1.272298,-1.170304,-0.192112,0.578137,-1.383125,P
-0.347877,1.31562,1.494802,-1.010239,-1.268105,N
-1.308109,-1.387426,-0.971749,-0.483821,0.045139,P
-0.000749,0.684761,-0.09205,0.095892,1.398949,N
0.19658,0.618764,1.48754,-1.298051,-0.236183,N
1.613302,0.541607,-0.040264,1.293477,-0.080722,N
0.980805,-0.349465,-1.076273,-0.027185,-0.66868,N
-1.127736,0.041576,0.175868,-0.151181,-0.692826,P
0.331215,0.869629,-1.419643,0.296122,-0.782625,N
0.766237,0.006663,-0.79052,1.43782,-1.664127,N
-0.319518,1.570712,0.469875,-0.524461,-1.087114,N
-1.606053,-0.410726,1.204858,-0.520379,-0.882167,P
1.215076,-1.191531,1.56884,1.615409,0.83767,N
1.170173,-0.906012,-0.279861,-0.786631,-1.427025,P
0.678726,0.5975,1.134369,-1.603969,-0.018723,N
0.479445,-0.886562,-1.034071,0.495429,-0.482098,P
0.450063,-0.507015,-1.538713,-1.659671,-0.399871,P
-0.734915,-0.640444,-0.361844,0.154296,-0.40374,P
0.719885,-0.892159,1.663985,0.650107,-0.614141,N
0.665648,0.225719,-1.654013,-1.264051,0.20835,N
-0.578712,1.410067,0.838592,0.41463,-1.085976,N
-0.824151,-0.454484,0.865258,-0.504904,-0.874733,P
0.966888,-0.993932,1.541031,0.48521,-1.208804,N
-1.735731,-1.568056,-1.373833,-1.282771,-1.187944,P
-0.526132,-0.50054,1.702833,-0.050621,-1.259378,N
1.22587,0.349584,-0.044959,1.659411,-0.571539,N
0.056368,-0.069658,-0.140604,0.557132,0.002855,N
0.237199,1.045678,0.373749,1.145972,-0.611781,N
