@relation fri_c4_1000_10

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute binaryClass {P,N}

@data
0.903445,1.36408,-0.314574,-0.601459,-0.216106,2.004304,1.539347,-0.218686,-0.004856,1.558926,P
-0.403362,-1.133148,-0.653747,-0.762931,-0.441265,-0.591847,-0.166339,-0.949148,0.387953,-0.823276,N
-0.771931,-0.766264,-0.672213,-0.07176,-0.659792,0.669554,-0.070793,1.521836,-0.227403,-1.152195,N
-0.026862,0.066554,-0.596093,-0.638973,-0.309948,1.90811,0.531251,0.885571,0.497565,1.542118,N
0.542034,-0.154622,0.601288,1.031647,0.405714,-0.444295,-0.426,0.805068,-1.645485,-0.202952,N
0.684895,0.889052,1.150454,0.823318,1.007051,-0.17833,-0.289499,0.546447,-0.211473,1.144251,P
-1.206384,-1.083423,-0.509904,-1.391226,-0.685518,1.128203,0.968144,0.042604,0.705368,0.141496,P
0.568481,-0.174016,-0.807298,-0.886063,-0.665081,-0.401443,-0.452609,0.141335,-0.742963,-1.00764,N
1.625373,1.226461,-0.994304,-1.540964,-0.584394,0.766896,1.027615,0.470013,0.466127,0.042073,P
-0.62852,-0.779437,0.221876,0.224829,-0.300175,-0.668641,1.607391,-1.472267,-1.594331,-1.679499,N
-2.005088,-1.500639,-0.649851,1.554597,-0.928655,0.499622,0.04902,-1.183538,1.720466,1.48909,P
0.885261,1.124979,-0.329166,-1.577083,-0.390813,0.150598,0.326833,-0.594894,-0.644024,0.405766,P
0.041211,-0.339993,0.136279,0.135483,-0.201608,-0.918071,-1.119296,0.108118,1.371329,-0.038848,N
0.24004,0.097197,-0.233081,-0.187063,-0.115683,-0.809242,-1.225829,-0.211947,-0.489223,-0.624356,P
-0.029467,-0.572265,-0.142174,-0.433871,-0.238588,1.379915,0.372098,1.256131,0.581868,1.649146,N
-2.102896,-1.436205,-0.614057,1.093523,-0.519073,1.930875,0.447145,0.670354,-0.652848,1.508219,N
0.585326,0.404087,-0.728793,-1.270355,-0.809667,-1.19381,1.393737,-1.405849,0.283319,-1.252954,P
0.336781,0.677559,-0.127612,-0.263291,-0.471833,-0.84507,-1.255437,-1.182599,-0.153334,-0.856338,P
-0.972042,-1.310313,-0.843832,0.269834,-0.342087,-1.045181,-1.452088,0.679459,-1.316253,-1.595319,N
-1.374737,-0.906082,-0.378017,0.305083,-0.594618,-0.342333,-0.217992,-1.228147,1.493256,1.035227,N
-0.48159,0.326142,-0.018916,-0.228663,-0.360385,0.1062,0.282314,0.343409,1.339436,0.100303,N
0.879241,1.441105,-0.424895,-1.117563,-0.258712,1.96484,1.279337,-0.115603,-0.654509,1.672312,P
-0.737842,-1.427447,-0.222292,1.358725,-0.504767,-0.770072,-0.263243,-0.052136,-0.565727,-0.21337,N
0.282085,-0.357273,-0.34486,-1.328211,-0.327164,0.416753,0.731675,-1.715733,1.723449,1.357259,N
-0.524915,-0.191976,-1.063242,-1.181642,-0.596333,1.076455,1.343522,1.33007,-0.224016,-0.883619,N
-0.826024,-0.76541,-0.366805,0.718173,-0.79475,-1.085728,-1.668623,-0.71142,-1.009474,-0.862594,N
-1.539463,-1.559893,-0.326886,0.925845,-0.503425,0.14105,0.628334,-1.154494,1.561422,0.903067,P
1.262233,1.031385,1.488945,0.129629,1.680482,-0.876221,-1.39517,-1.40068,1.020409,-1.302876,P
1.338812,0.716852,2.219429,1.748145,2.606489,-0.425315,-0.894691,0.259557,-1.573158,0.218138,P
-1.368477,-1.007192,-1.039445,-1.416915,-0.695798,-0.958791,0.171957,-0.853683,0.561222,-1.555335,P
-1.1317,-0.631984,-0.193935,-0.17126,-0.610754,0.364376,0.518233,0.033193,-1.431912,-0.078657,N
0.156765,0.368848,0.413228,0.471146,0.111627,1.674677,1.425672,0.366417,0.062853,-0.020897,P
0.500947,0.233333,0.328931,0.919848,0.093826,0.223035,0.513008,0.141806,-0.727193,-0.24792,P
-0.408043,0.29002,-0.197996,-1.652103,-0.551698,-0.98036,-1.70489,0.086447,0.8302,-1.183539,P
0.952203,1.663937,0.750974,-0.213748,0.621055,-1.454866,-1.545747,1.644398,1.515322,-0.761656,P
0.944533,1.005826,-1.343104,-1.493084,-0.757479,0.989833,0.742145,-0.2555,0.041199,1.167931,P
-0.794896,-1.424556,-1.57274,0.69416,-0.863998,0.276377,0.492094,0.355731,-0.134958,-0.866035,N
-0.563895,-0.019489,-0.189943,-1.5101,-0.593543,-1.234414,-0.349037,-1.00747,0.087013,-0.195382,N
0.061361,-0.613365,-0.085557,0.54613,-0.204159,-0.961653,-1.440267,0.421367,1.242906,1.367865,N
-0.981166,-0.934724,-0.79552,0.607985,-0.853398,2.532731,1.563868,-0.465876,-1.186614,1.148583,N
1.477685,1.651685,-0.371591,-1.207325,0.08457,-1.587455,-1.663399,0.837419,0.457785,-0.74963,N
