@relation fri_c4_1000_50

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute oz11 numeric
@attribute oz12 numeric
@attribute oz13 numeric
@attribute oz14 numeric
@attribute oz15 numeric
@attribute oz16 numeric
@attribute oz17 numeric
@attribute oz18 numeric
@attribute oz19 numeric
@attribute oz20 numeric
@attribute oz21 numeric
@attribute oz22 numeric
@attribute oz23 numeric
@attribute oz24 numeric
@attribute oz25 numeric
@attribute oz26 numeric
@attribute oz27 numeric
@attribute oz28 numeric
@attribute oz29 numeric
@attribute oz30 numeric
@attribute oz31 numeric
@attribute oz32 numeric
@attribute oz33 numeric
@attribute oz34 numeric
@attribute oz35 numeric
@attribute oz36 numeric
@attribute oz37 numeric
@attribute oz38 numeric
@attribute oz39 numeric
@attribute oz40 numeric
@attribute oz41 numeric
@attribute oz42 numeric
@attribute oz43 numeric
@attribute oz44 numeric
@attribute oz45 numeric
@attribute oz46 numeric
@attribute oz47 numeric
@attribute oz48 numeric
@attribute oz49 numeric
@attribute oz50 numeric
@attribute binaryClass {P,N}

@data
0.821213,1.090418,0.785218,0.045135,0.734229,0.844374,1.110512,-0.150681,0.260865,0.320348,-0.61514,-0.863367,-1.121461,-0.339093,1.099513,0.810232,1.416612,1.664996,-0.096056,1.355284,0.514754,1.634559,1.215245,0.132474,0.98487,-1.368318,1.095698,1.480576,-0.364007,0.3095,-0.551624,-1.71109,1.143123,0.62588,0.206511,0.502968,0.699168,1.311468,0.844061,0.839926,-0.623946,0.680908,1.220748,0.866801,1.577251,-1.210483,0.035536,0.647263,-0.036689,-1.249211,P
-1.802453,-1.048114,-0.405953,1.240795,-0.985489,-1.220278,1.228225,-1.645101,-1.498474,-1.162049,0.846017,-1.597718,1.72276,0.908769,1.605325,-0.752265,-0.506611,1.566797,0.492224,-1.029187,-1.016234,0.574185,1.241355,-0.977523,0.647532,-1.073037,1.065918,1.016983,-0.24271,-1.618718,1.137783,1.404244,-1.286135,0.569648,-1.063044,-0.871195,-0.449553,-1.285257,-1.252188,1.271152,-0.022264,-0.489611,0.605936,-0.016374,1.252321,0.436081,1.511274,-0.268815,-0.874936,-0.458593,N
0.309704,-0.511009,-0.026966,-0.086229,-0.272386,-1.015089,-1.11446,-0.379674,-1.261579,1.576812,0.275389,0.771959,-0.359897,1.457395,-0.088707,-0.889759,-0.166873,-1.053981,0.186972,0.069907,-0.420644,-0.684891,0.499131,-1.149902,0.705365,0.025264,1.412184,0.871942,-0.724503,-0.836399,-0.74756,-0.219429,0.484825,0.437019,-1.374505,1.413015,-0.538302,-0.218395,0.243893,0.069901,0.653471,0.373065,1.04526,1.38059,1.553946,-0.35921,0.460674,-0.371858,-0.832178,1.399069,N
-0.791406,-0.772032,0.147595,1.358603,-0.596757,-1.448848,-1.391085,-1.166951,-0.548843,-0.778792,-0.594484,-1.71766,1.472955,1.187917,-1.233654,0.121981,-0.621732,1.378292,0.524194,0.622557,0.46992,-1.176168,-0.390426,-1.52462,-1.002757,0.367485,0.609902,1.238647,-1.623803,0.372473,-0.69584,-0.956602,-1.344072,-1.671832,-1.363482,1.43093,-0.33569,1.080232,0.345757,1.029351,1.463136,0.279818,1.537755,1.497808,-1.002886,1.391201,-0.178593,0.136641,-0.41021,-0.979222,N
-0.124688,-0.090166,-0.678055,-1.541859,-0.519864,1.856776,1.514159,1.384174,0.366498,-1.268762,-1.262469,-0.428298,-1.343906,0.386809,0.416471,1.505106,-0.665002,-0.631336,-0.270067,1.461394,0.667529,-1.333177,-1.464635,0.688266,1.592697,1.279461,-1.10277,1.610013,-0.95949,-1.071197,1.581941,-1.447242,1.31842,1.378395,1.042122,-0.845248,0.635362,1.682019,0.02316,-1.558749,-0.416849,1.010148,0.935204,0.609565,-1.116916,-1.590639,0.102051,-0.709226,0.646641,1.401219,N
1.820445,1.462522,0.489269,-0.29046,0.850118,-0.146093,1.111342,-1.143495,0.95146,0.299292,1.758539,0.002244,-1.606637,-0.338462,0.005094,-0.116032,-0.123668,-0.041292,-0.392445,-0.341497,-0.205102,-0.066108,-1.045055,0.477545,-0.952398,0.621497,0.432795,0.060235,-1.60543,-1.288082,1.30938,0.950397,0.706835,1.418548,1.193442,0.48723,-1.42116,-1.567991,0.677532,0.124095,-0.417107,0.899653,1.612047,0.367227,-0.264764,-0.140973,1.193537,-1.148591,0.477701,1.804498,N
-0.722377,-0.226932,-1.403923,-1.10434,-0.909732,3.202453,1.137642,1.2927,-0.41001,1.519617,0.808154,1.202539,-1.325765,-0.350296,-0.600626,-1.444812,-1.38066,0.405282,-0.924678,-1.232705,-1.513428,-1.701659,1.585094,1.292684,-0.331797,-0.322709,-0.464142,-0.81023,0.710591,0.370379,-0.306605,-0.603916,0.21584,-1.125598,0.916315,1.061938,1.659557,0.177959,-0.223911,0.516675,-1.690271,-0.358693,-1.081526,-1.218629,-0.04691,0.635005,-0.505393,0.892436,1.288769,1.315702,N
-1.675518,-1.55274,-1.647686,-1.361053,-0.979177,-0.837005,-1.138156,0.640825,1.072969,0.683848,0.219442,-0.588558,-1.271698,0.914347,-1.308983,1.371336,1.296896,0.623464,-0.460806,-1.527894,0.594717,-1.660643,0.690178,0.74014,-1.03398,0.546816,-0.302416,-0.05617,-0.444388,0.877731,1.356704,-1.274054,-1.308736,-1.380173,-1.266856,-0.93564,1.53901,1.442028,0.708866,-1.250294,1.366217,-0.49892,1.547679,-1.649453,-0.023358,-1.162059,1.09491,0.213511,-0.162186,-0.696461,N
-0.305763,-0.420935,-0.893087,-0.63501,-0.567961,-1.632143,-1.395486,-0.278222,0.678189,-0.179919,1.15052,-0.659353,0.832922,-0.922308,-1.573659,1.446834,-0.319181,-0.554695,-1.521244,-0.812244,0.39444,0.004446,-0.598436,-0.752922,-0.027825,0.615419,-0.847188,-0.048926,-1.120981,-1.377878,-1.555118,-0.735146,-0.031971,0.022016,-1.24994,-0.120921,-0.171176,-0.39318,1.084552,0.698164,0.586495,0.547838,-1.187319,1.399551,-1.230202,0.584486,1.543136,0.286818,-0.619745,-0.092428,N
-0.61572,-0.416238,-0.703059,-1.385432,-1.161517,-0.785427,-0.606657,-1.065079,0.192881,-1.371211,-1.56456,0.109606,-1.154576,-0.759271,-1.130992,-0.141226,1.503435,-0.915617,0.709881,0.121003,-0.558443,0.083551,1.250673,0.58206,-1.438347,-1.449887,-1.488034,0.513676,1.538906,0.985079,0.154451,1.462302,1.36602,-1.457861,1.204493,0.23977,0.174717,0.799733,-0.793056,1.278485,-0.239726,-0.041554,-1.695157,-1.307837,0.837357,0.374599,-0.587254,1.739412,1.213527,-1.335098,N
