@relation fri_c1_1000_25

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute oz11 numeric
@attribute oz12 numeric
@attribute oz13 numeric
@attribute oz14 numeric
@attribute oz15 numeric
@attribute oz16 numeric
@attribute oz17 numeric
@attribute oz18 numeric
@attribute oz19 numeric
@attribute oz20 numeric
@attribute oz21 numeric
@attribute oz22 numeric
@attribute oz23 numeric
@attribute oz24 numeric
@attribute oz25 numeric
@attribute binaryClass {P,N}

@data
-1.619737,-0.98154,-1.608968,-0.98733,-0.220928,-1.012735,-1.358761,-1.08059,0.861059,0.759529,-1.175629,-1.299471,-0.239219,-0.984375,0.166369,1.264371,0.833546,1.600962,-1.375479,0.592777,1.646831,-0.997685,-0.07713,-0.264632,1.722179,N
-1.155794,-1.31178,-0.598477,-0.805463,0.057797,-0.61485,1.273836,1.645185,-0.419586,-0.315395,-0.503193,0.819012,0.445355,-1.039113,-1.531134,-1.303879,-0.749193,-1.691961,-0.833525,-1.622466,-0.313052,1.374777,-1.601047,0.497843,0.744925,P
-0.322434,-1.108151,1.50658,1.565567,-0.753888,0.962136,-0.333372,1.617689,0.756078,-1.458015,0.241832,-0.998006,0.98721,1.552681,-1.694487,-0.865098,1.256216,0.141181,1.569537,-0.153439,1.13751,-0.114251,-0.487824,-0.218867,-0.90736,N
1.612236,1.330535,0.82811,1.714786,1.376344,-0.131874,-1.150714,-1.256899,0.060727,-0.166637,-1.456804,1.705076,0.576534,-1.506917,1.288165,-0.161282,-0.977813,1.058163,1.550533,1.558377,1.617413,1.290586,-0.059299,-0.036482,-1.022342,N
-2.302893,-1.634866,-1.29821,0.532563,1.514778,1.483295,0.377314,-0.338266,-1.328288,-0.665519,0.878074,0.383712,0.45285,0.667684,1.253175,-1.708136,0.238247,-0.527241,-1.298349,-0.460528,-0.071087,1.076045,-1.701227,1.441807,-0.17015,N
-1.369257,-1.502429,-0.253706,0.095411,1.627948,1.297293,-0.984596,-1.715047,-0.344078,-0.532041,-1.706244,-0.909011,0.222375,-1.579288,0.674836,0.079855,1.331148,0.212808,-0.253547,-0.673623,1.214538,1.206906,-0.967237,-1.330818,1.424655,N
1.103011,0.969391,0.465758,-0.348526,0.484807,0.732988,-0.045359,1.488264,0.616454,-0.027235,-1.374262,0.447845,-0.84854,-1.299471,0.103918,1.2005,1.286156,1.099403,0.471466,-1.073399,-1.654118,-1.725382,1.194837,-0.18035,-0.740872,P
-2.040501,-1.642013,-1.352363,1.293604,0.19013,-0.564005,0.960535,-1.461462,0.21752,0.308525,1.560503,-0.20641,-0.164626,-0.822995,-1.069709,-1.445214,1.061621,-0.75246,1.712208,0.941628,-1.301463,-0.547119,-1.393945,-0.049847,0.822654,N
0.667655,1.127757,-0.247357,0.748212,0.138796,-1.63328,1.018428,0.341333,-0.340236,1.015218,-1.553152,1.479469,1.280634,-0.817036,0.728397,-0.375287,-0.493283,-1.07974,-0.29428,-1.503996,-0.343214,0.101231,0.182349,-0.489108,-1.201075,P
1.366525,1.630717,0.212043,-1.162736,-1.593866,-1.477009,0.06162,1.114125,-1.520687,1.739784,0.440211,-1.06333,0.605672,-0.746548,-0.633637,0.02067,1.179451,1.484808,-0.147868,0.879,1.547858,-1.117472,-1.711593,0.382485,0.647036,P
